experiment,model,filter,workers,width,height,seconds
strong_scaling,sequential,gaussian_blur,1,3840,2160,0.048018
strong_scaling,sequential,sobel,1,3840,2160,0.033717
strong_scaling,sequential,sharpen,1,3840,2160,0.008092
strong_scaling,sequential,grayscale,1,3840,2160,0.018724
strong_scaling,pthreads,gaussian_blur,1,3840,2160,0.171684
strong_scaling,pthreads,sobel,1,3840,2160,0.053866
strong_scaling,pthreads,sharpen,1,3840,2160,0.032044
strong_scaling,pthreads,grayscale,1,3840,2160,0.025919
strong_scaling,openmp,gaussian_blur,1,3840,2160,0.050064
strong_scaling,openmp,sobel,1,3840,2160,0.035031
strong_scaling,openmp,sharpen,1,3840,2160,0.011919
strong_scaling,openmp,grayscale,1,3840,2160,0.018722
strong_scaling,mpi,gaussian_blur,1,3840,2160,0.059206
strong_scaling,mpi,sobel,1,3840,2160,0.041723
strong_scaling,mpi,sharpen,1,3840,2160,0.019268
strong_scaling,mpi,grayscale,1,3840,2160,0.021433
strong_scaling,pthreads,gaussian_blur,2,3840,2160,0.085449
strong_scaling,pthreads,sobel,2,3840,2160,0.027437
strong_scaling,pthreads,sharpen,2,3840,2160,0.015603
strong_scaling,pthreads,grayscale,2,3840,2160,0.013844
strong_scaling,openmp,gaussian_blur,2,3840,2160,0.026608
strong_scaling,openmp,sobel,2,3840,2160,0.017854
strong_scaling,openmp,sharpen,2,3840,2160,0.004972
strong_scaling,openmp,grayscale,2,3840,2160,0.010456
strong_scaling,mpi,gaussian_blur,2,3840,2160,0.061511
strong_scaling,mpi,sobel,2,3840,2160,0.035614
strong_scaling,mpi,sharpen,2,3840,2160,0.012151
strong_scaling,mpi,grayscale,2,3840,2160,0.025438
strong_scaling,pthreads,gaussian_blur,4,3840,2160,0.101239
strong_scaling,pthreads,sobel,4,3840,2160,0.038097
strong_scaling,pthreads,sharpen,4,3840,2160,0.018931
strong_scaling,pthreads,grayscale,4,3840,2160,0.020277
strong_scaling,openmp,gaussian_blur,4,3840,2160,0.019993
strong_scaling,openmp,sobel,4,3840,2160,0.014426
strong_scaling,openmp,sharpen,4,3840,2160,0.003851
strong_scaling,openmp,grayscale,4,3840,2160,0.007444
strong_scaling,mpi,gaussian_blur,4,3840,2160,0.039304
strong_scaling,mpi,sobel,4,3840,2160,0.032948
strong_scaling,mpi,sharpen,4,3840,2160,0.014871
strong_scaling,mpi,grayscale,4,3840,2160,0.021430
strong_scaling,pthreads,gaussian_blur,8,3840,2160,0.101610
strong_scaling,pthreads,sobel,8,3840,2160,0.033709
strong_scaling,pthreads,sharpen,8,3840,2160,0.023182
strong_scaling,pthreads,grayscale,8,3840,2160,0.016611
strong_scaling,openmp,gaussian_blur,8,3840,2160,0.035252
strong_scaling,openmp,sobel,8,3840,2160,0.025433
strong_scaling,openmp,sharpen,8,3840,2160,0.003831
strong_scaling,openmp,grayscale,8,3840,2160,0.009074
strong_scaling,mpi,gaussian_blur,8,3840,2160,0.078173
strong_scaling,mpi,sobel,8,3840,2160,0.055437
strong_scaling,mpi,sharpen,8,3840,2160,0.142710
strong_scaling,mpi,grayscale,8,3840,2160,0.116641
size_sweep,sequential,gaussian_blur,1,64,64,0.000081
size_sweep,sequential,sobel,1,64,64,0.000064
size_sweep,sequential,sharpen,1,64,64,0.000016
size_sweep,sequential,grayscale,1,64,64,0.000031
size_sweep,pthreads,gaussian_blur,8,64,64,0.001349
size_sweep,pthreads,sobel,8,64,64,0.001357
size_sweep,pthreads,sharpen,8,64,64,0.001141
